SENTENCE_NAME	VIDEO_PATH	SENTENCE	POSE_DIR
--8pSDeC-fg_10-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--8pSDeC-fg_10-5-rgb_front.mp4	Are you always focused on the positive aspects of your physical self instead of the negative?	datasets/training_data/train_2D_keypoints/openpose_output/json/--8pSDeC-fg_10-5-rgb_front
--8pSDeC-fg_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--8pSDeC-fg_6-5-rgb_front.mp4	When one has low self esteem, the way you can tell is look in the mirror.	datasets/training_data/train_2D_keypoints/openpose_output/json/--8pSDeC-fg_6-5-rgb_front
--8pSDeC-fg_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--8pSDeC-fg_9-5-rgb_front.mp4	Do you see the positive parts of your personality or do you notice the negative?	datasets/training_data/train_2D_keypoints/openpose_output/json/--8pSDeC-fg_9-5-rgb_front
--dANj_01AU_14-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--dANj_01AU_14-5-rgb_front.mp4	Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.	datasets/training_data/train_2D_keypoints/openpose_output/json/--dANj_01AU_14-5-rgb_front
--dANj_01AU_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--dANj_01AU_6-5-rgb_front.mp4	Placing the palm, placing the palm and then start in a nice rocking fashion.	datasets/training_data/train_2D_keypoints/openpose_output/json/--dANj_01AU_6-5-rgb_front
--dANj_01AU_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/--dANj_01AU_9-5-rgb_front.mp4	Coming to the other one, and again, just in a nice rocking position.	datasets/training_data/train_2D_keypoints/openpose_output/json/--dANj_01AU_9-5-rgb_front
-00cp1iGiDw_10_11-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-00cp1iGiDw_10_11-5-rgb_front.mp4	So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.	datasets/training_data/train_2D_keypoints/openpose_output/json/-00cp1iGiDw_10_11-5-rgb_front
-00cp1iGiDw_14-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-00cp1iGiDw_14-5-rgb_front.mp4	Again this is a oral preventive and this is also a oral preventive.	datasets/training_data/train_2D_keypoints/openpose_output/json/-00cp1iGiDw_14-5-rgb_front
-00cp1iGiDw_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-00cp1iGiDw_6-5-rgb_front.mp4	I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.	datasets/training_data/train_2D_keypoints/openpose_output/json/-00cp1iGiDw_6-5-rgb_front
-00cp1iGiDw_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-00cp1iGiDw_9-5-rgb_front.mp4	cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.	datasets/training_data/train_2D_keypoints/openpose_output/json/-00cp1iGiDw_9-5-rgb_front
-06_nJnhORg_0-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-06_nJnhORg_0-5-rgb_front.mp4	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.	datasets/training_data/train_2D_keypoints/openpose_output/json/-06_nJnhORg_0-5-rgb_front
-06_nJnhORg_12-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-06_nJnhORg_12-5-rgb_front.mp4	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.	datasets/training_data/train_2D_keypoints/openpose_output/json/-06_nJnhORg_12-5-rgb_front
-06_nJnhORg_4_5-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-06_nJnhORg_4_5-5-rgb_front.mp4	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.	datasets/training_data/train_2D_keypoints/openpose_output/json/-06_nJnhORg_4_5-5-rgb_front
-08ZGCviCm4_6-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-08ZGCviCm4_6-5-rgb_front.mp4	So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.	datasets/training_data/train_2D_keypoints/openpose_output/json/-08ZGCviCm4_6-5-rgb_front
-08ZGCviCm4_9-5-rgb_front	datasets/training_data/train_rgb_front_clips/raw_videos/-08ZGCviCm4_9-5-rgb_front.mp4	This is Julio Nutt at the Jim McLean Golf School.	datasets/training_data/train_2D_keypoints/openpose_output/json/-08ZGCviCm4_9-5-rgb_front
