VIDEO_ID	VIDEO_NAME	SENTENCE_ID	SENTENCE_NAME	START_REALIGNED	END_REALIGNED	SENTENCE
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_10	--8pSDeC-fg_10-5-rgb_front	45.55	52.32	Are you always focused on the positive aspects of your physical self instead of the negative?
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_6	--8pSDeC-fg_6-5-rgb_front	28.89	35.23	When one has low self esteem, the way you can tell is look in the mirror.
--8pSDeC-fg	--8pSDeC-fg-5-rgb_front	--8pSDeC-fg_9	--8pSDeC-fg_9-5-rgb_front	39.45	45.52	Do you see the positive parts of your personality or do you notice the negative?
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_14	--dANj_01AU_14-5-rgb_front	90.76	104.36	Place the thumb, place the thumb, just on the side of leg, and just kind of, you'll feel that you'll feel a little groove in there so you're not pressing up on any bones.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_6	--dANj_01AU_6-5-rgb_front	33.67	41.82	Placing the palm, placing the palm and then start in a nice rocking fashion.
--dANj_01AU	--dANj_01AU-5-rgb_front	--dANj_01AU_9	--dANj_01AU_9-5-rgb_front	61.75	70.63	Coming to the other one, and again, just in a nice rocking position.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_10_11	-00cp1iGiDw_10_11-5-rgb_front	129.95	146.78	So that is one option. Another option is if you know your dog has fleas there is something called cap star and this is a product that is oral product.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_14	-00cp1iGiDw_14-5-rgb_front	188.01	198.46	Again this is a oral preventive and this is also a oral preventive.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_6	-00cp1iGiDw_6-5-rgb_front	48.66	56.87	I'm just going to talk about three of the ones that are most commonly used and seems to be more effective.
-00cp1iGiDw	-00cp1iGiDw-5-rgb_front	-00cp1iGiDw_9	-00cp1iGiDw_9-5-rgb_front	118.23	129.93	cottion is the excess scalp of a flea so it doesn't kill the fleas but it prevents them from infesting or reproducing in your home.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_0	-06_nJnhORg_0-5-rgb_front	4.27	25.46	Some of the days that are the hardest are when, you know, I start out first thing in the morning and things just, like I woke up on the wrong side of the bed, or...or whatever, you know, type of phrase you want to use.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_12	-06_nJnhORg_12-5-rgb_front	122.44	135.21	I've got three very big jobs, three very big houses that have, you know, three and four bathrooms, and, just large houses...so, that makes for a really long day.
-06_nJnhORg	-06_nJnhORg-5-rgb_front	-06_nJnhORg_4_5	-06_nJnhORg_4_5-5-rgb_front	66.25	87.92	And one thing that I like...I try not to do is to interfere with my client's family time as well. So, when I get a late start, and maybe I have a horrendous house that I had to clean and...and wasn't planning on it, then my day gets later and I start to intrude into their family time.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_6	-08ZGCviCm4_6-5-rgb_front	72.48	85.83	So I'm going to get in my golf position and as I swing I am going to let the shot go as hard as I can and that is really going to help me develop the habit of throwing my weight.
-08ZGCviCm4	-08ZGCviCm4-5-rgb_front	-08ZGCviCm4_9	-08ZGCviCm4_9-5-rgb_front	98.37	104.27	This is Julio Nutt at the Jim McLean Golf School.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_11	-0BynF9TSNI_11-5-rgb_front	75.65	78.12	The kids will love you for it.
-0BynF9TSNI	-0BynF9TSNI-5-rgb_front	-0BynF9TSNI_13	-0BynF9TSNI_13-5-rgb_front	84.13	84.92	I hope you make it.
-0FA6OhxZSE	-0FA6OhxZSE-5-rgb_front	-0FA6OhxZSE_5	-0FA6OhxZSE_5-5-rgb_front	59.87	65.65	So, now, I'm getting this texture of the paint underneath of it.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_11	-0JdYlTf9Y8_11-5-rgb_front	95.12	97.95	It's really, what you get for your dollar.
-0JdYlTf9Y8	-0JdYlTf9Y8-5-rgb_front	-0JdYlTf9Y8_3	-0JdYlTf9Y8_3-5-rgb_front	22.74	24.48	This is a forty-eight inch trophy.
-0N0jbyBW6g	-0N0jbyBW6g-5-rgb_front	-0N0jbyBW6g_10	-0N0jbyBW6g_10-5-rgb_front	87.85	90.52	My name is Daniel King.
